

 // commas (,) are the row separators
 // semi-colons (;) are the matrix separators
 // two matrices per line
3  7  5, 1  0  2, 6  4  9; 8  2  1, 4  3  5, 0  6  7
9  2  3, 1  4  6, 0  7  5; 8  2  3, 4  6  1, 7  0  5
5  3, 8  7, 4  1; 9  6  2, 0  8  1
1  5  3, 6  2  0, 8  7  4; 3  7  0, 1  4  2, 6  9  8
2  3  1  6, 0  9  5  4, 8  7  1  2; 5  0  3,  1 2  8,  7  4  9,  6  2  1
9  8, 1  7, 4  3, 3  2; 5  1  2  9, 7  6  0  4
5  1  4  6, 2  3  7  8, 0  9  6  1; 3  7  1, 0  6  2,  9  5  8,  4  3  2
8  5  9, 1  4  7, 6  2  3; 3  2  6, 9  5  0, 1  7  8
5;4
7, 6, 5, 4; 3, 2, 1, 0
